objectid,display_template,parentid,sequence,file_name,identifier,image_small,image_thumb,image_alt_text,object_transcript,title,ark,avian_id,uid,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,creator,creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,contributor,contributor_uri,description,disclaimer,language,chronological_subject,name_subject,name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,digital_origin
iowaornithassoc_007,image,iowaornithassoc_007,,ms0581b001f001i0007.jpg,ms0581b001f001i0007,/public_html/objects/ioa/small/ms0581b001f001i0007_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0007_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_008,image,iowaornithassoc_008,,ms0581b001f001i0008.jpg,ms0581b001f001i0008,/public_html/objects/ioa/small/ms0581b001f001i0008_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0008_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_009,image,iowaornithassoc_009,,ms0581b001f001i0009.jpg,ms0581b001f001i0009,/public_html/objects/ioa/small/ms0581b001f001i0009_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0009_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_010,image,iowaornithassoc_010,,ms0581b001f001i0010.jpg,ms0581b001f001i0010,/public_html/objects/ioa/small/ms0581b001f001i0010_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0010_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_011,image,iowaornithassoc_011,,ms0581b001f001i0011.jpg,ms0581b001f001i0011,/public_html/objects/ioa/small/ms0581b001f001i0011_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0011_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_012,image,iowaornithassoc_012,,ms0581b001f001i0012.jpg,ms0581b001f001i0012,/public_html/objects/ioa/small/ms0581b001f001i0012_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0012_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_013,image,iowaornithassoc_013,,ms0581b001f001i0013.jpg,ms0581b001f001i0013,/public_html/objects/ioa/small/ms0581b001f001i0013_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0013_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_014,image,iowaornithassoc_014,,ms0581b001f001i0014.jpg,ms0581b001f001i0014,/public_html/objects/ioa/small/ms0581b001f001i0014_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0014_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_015,image,iowaornithassoc_015,,ms0581b001f001i0015.jpg,ms0581b001f001i0015,/public_html/objects/ioa/small/ms0581b001f001i0015_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0015_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_016,image,iowaornithassoc_016,,ms0581b001f001i0016.jpg,ms0581b001f001i0016,/public_html/objects/ioa/small/ms0581b001f001i0016_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0016_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
